iteration,query1,query2,query3,query4,query5,query6,query7,query8
#1,0.28275841999999995,0.02705820000000001,329.79149606,74.70919288,84.62835408000001,83.11012826,200.18213915999996,0.27714004
#2,50,50,50,50,50,50,50,50
