iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.236046,0.162358,0.127465,0.120045,0.027125,458.993965,107.297074,139.024933,137.888186,249.235612,0.33288
#2,0.415963,0.300149,0.207068,0.128802,0.014341,456.265112,112.443776,141.11943,140.465022,279.446117,0.283941
#3,0.252521,0.151725,0.125426,0.144677,0.015861,466.172369,105.904774,139.072643,139.875225,252.752218,0.25068799999999997
#4,0.240257,0.156487,0.131815,0.122642,0.028775,462.458939,105.22447,149.113308,143.612043,250.437652,0.274188
#5,0.24346,0.15518,0.122374,0.116771,0.012243,454.328838,110.409971,140.052209,140.916346,250.479827,0.23457
#6,0.248463,0.153114,0.131297,0.119456,0.012089,456.004772,105.087761,139.396974,138.972299,255.647479,0.312393
#7,0.505078,0.185625,0.131193,0.121974,0.011868,467.598156,102.727874,138.999657,138.324396,247.345911,0.26097899999999996
#8,0.22881,0.144929,0.10884,0.130655,0.028492,468.388009,113.245909,145.092948,138.101855,247.83297,0.239317
#9,0.24387,0.14118,0.116476,0.137541,0.011849,467.061752,108.149412,145.791299,137.907013,272.181146,0.24945599999999998
#10,0.43021800000000004,0.17386500000000002,0.158649,0.13928200000000002,0.020227000000000002,487.225716,108.334278,136.271811,141.382967,249.250597,0.244657
#11,0.31951,0.150573,0.130156,0.120203,0.0218,469.352692,106.569791,141.673588,142.92452,249.747338,0.25344300000000003
#12,0.278704,0.189203,0.168041,0.174333,0.016317,484.376223,105.214886,141.205059,138.938438,260.447679,0.260781
#13,0.38446800000000003,0.29562900000000003,0.24107699999999999,0.203986,0.011652,465.606338,108.025463,140.187087,139.668,251.798319,0.24139
#14,0.23497,0.177302,0.123944,0.11636400000000001,0.016007999999999998,470.333757,103.675563,142.842892,139.186305,253.356925,0.296841
#15,1.036023,0.332709,0.189287,0.12903299999999998,0.015646,466.977595,98.720652,139.726044,140.889998,263.238825,0.258423
#16,0.272752,0.15437,0.124244,0.11913,0.011856,460.580598,108.017727,140.533749,139.051599,250.038159,0.40864999999999996
#17,0.43764600000000003,0.152535,0.122851,0.108699,0.015132,498.254444,117.177678,149.857764,143.601476,248.211647,0.327276
#18,0.254299,0.15557400000000002,0.117655,0.09789199999999999,0.011346,462.331961,101.656093,145.592639,139.257798,263.504656,0.249022
#19,0.262628,0.163059,0.13676,0.12607,0.19831700000000002,475.75608,105.183518,138.21551,140.730882,253.717095,0.25426
#20,0.253761,0.168565,0.12969399999999998,0.12152800000000001,0.015813,467.36339,112.135911,157.373197,137.602829,253.872866,0.236559
#21,0.250696,0.174625,0.13201,0.122548,0.017658999999999998,460.662942,101.813556,139.752618,136.332212,254.098239,0.241434
#22,0.25699299999999997,0.168487,0.15058000000000002,0.130438,0.013858,459.743925,102.71004,140.109472,139.845068,249.726033,0.270212
#23,0.290943,0.200746,0.173632,0.158605,0.011023,462.786837,101.274893,148.936627,144.75972,255.69688,0.432172
#24,0.28779899999999997,0.159226,0.13038,0.12113299999999999,0.021854,506.580637,109.170261,139.71923,138.906553,253.081847,0.336327
#25,0.23216599999999998,0.17655600000000002,0.12049699999999999,0.111011,0.016236999999999998,461.359858,105.483926,137.696778,140.376916,248.779729,0.251841
#26,0.255544,0.15820599999999999,0.131441,0.122309,0.011882,483.488941,110.390297,139.895344,138.314545,255.276089,0.256836
#27,0.235257,0.148201,0.140461,0.12556,0.02179,459.604065,103.939143,140.532712,143.930536,263.084155,0.31374599999999997
#28,0.24041300000000002,0.157549,0.12464499999999999,0.11966500000000001,0.022434000000000003,455.997533,105.453671,141.241016,138.032994,250.666082,0.373727
#29,0.234951,0.14768299999999998,0.119708,0.112506,0.013165,468.701292,109.571784,140.772641,138.623636,242.914971,0.253523
#30,0.251132,0.1672,0.126823,0.13297399999999998,0.013047000000000001,459.797539,105.121971,136.559057,136.619679,262.163406,0.241148
#31,0.308124,0.169138,0.14141800000000002,0.157664,0.017425,493.004938,117.527131,142.468451,141.245053,252.672727,0.24715
#32,0.269909,0.146383,0.120717,0.171846,0.018986999999999997,451.70222,114.618703,149.643757,140.781472,252.802356,0.24043899999999999
#33,0.243338,0.15290399999999998,0.128712,0.12947,0.011550000000000001,470.125478,105.236417,140.90332,143.162649,263.667121,0.36624900000000005
#34,0.24652600000000002,0.153636,0.12513,0.117006,0.017821,472.167174,103.830764,139.662306,140.104229,249.096029,0.34696899999999997
#35,0.35794,0.28319,0.226386,0.16279,0.023159,454.85634,115.216618,142.55987,146.60966,248.369923,0.25717599999999996
#36,0.252695,0.15101499999999998,0.121694,0.11367400000000001,0.025661,451.682157,100.340983,141.612286,146.321931,265.503237,0.32590399999999997
#37,0.252329,0.15614699999999998,0.129802,0.123125,0.021495999999999998,451.820091,109.537702,141.542353,143.18697,256.242869,0.242681
#38,0.26599599999999995,0.166648,0.131095,0.12612399999999999,0.015508,497.342489,119.844689,151.529814,142.382305,252.262317,0.237018
#39,0.262412,0.238066,0.182955,0.146671,0.011719,459.613988,111.377017,142.53628,142.103704,252.999641,0.250597
#40,0.246721,0.148862,0.124406,0.115687,0.011319000000000001,459.57476,105.674383,139.195036,141.146631,249.457042,0.284437
#41,0.266679,0.165428,0.150275,0.12273300000000001,0.028519,469.485735,107.101651,139.563915,140.826354,251.854856,0.354771
#42,0.251217,0.158256,0.13430099999999998,0.11954600000000001,0.017147,456.541471,101.41833,146.254083,141.201091,253.807458,0.295768
#43,0.265166,0.157537,0.132968,0.126754,0.015812,463.411929,106.135008,139.144193,139.051691,243.429081,0.250006
#44,0.270426,0.15762700000000002,0.132517,0.119791,0.018853,461.200618,110.345973,143.456536,138.326847,245.325332,0.32423
#45,0.25941000000000003,0.153606,0.12369100000000001,0.11937099999999999,0.010837999999999999,465.329213,124.498697,149.18825,140.531244,250.772937,0.335718
#46,0.252626,0.155712,0.127952,0.12,0.017533999999999998,457.203311,106.823108,144.410869,141.598616,249.510399,0.35012400000000005
#47,0.249096,0.150757,0.120964,0.122366,0.023303,477.344524,117.331508,144.476901,138.455013,247.582914,0.24560900000000002
#48,0.350422,0.236068,0.210102,0.26583300000000004,0.026254000000000003,458.533935,103.583802,142.033043,140.695587,256.784801,0.254893
#49,0.243278,0.150135,0.132132,0.121761,0.5010640000000001,468.266682,101.70433,145.684576,140.763451,243.911951,0.34502
#50,0.25613400000000003,0.156606,0.113235,0.104277,0.012041,455.364379,111.275995,151.627214,141.834482,248.463873,0.283045
