iteration,query1,query2,query3,query4,query5,query6,query7,query8
#1,0.334121,0.016265,337.435712,74.334261,80.041869,80.865739,196.790673,0.223358
#2,0.26775299999999996,0.009557,319.015999,64.705151,80.26183,78.75348,206.403146,0.33343700000000004
#3,0.21590299999999998,0.010010999999999999,344.24617,73.19805,80.514283,79.968738,203.622921,0.293878
#4,0.194273,0.010846,333.664933,74.506848,84.440096,83.573315,198.253349,0.5524249999999999
#5,0.209631,0.014987,347.132275,76.509703,83.763562,80.523086,204.790521,0.304478
#6,0.184806,0.010034000000000001,328.725464,69.68379,82.918347,80.968556,195.932045,0.22147
#7,0.223978,0.010225,319.412508,72.852224,84.767641,80.339103,196.000423,0.230722
#8,0.200798,0.010395,324.300208,71.962001,83.36215,84.941173,196.677385,0.219892
#9,0.22050999999999998,0.010921,321.53872,69.635525,84.219222,91.507508,196.092406,0.30440100000000003
#10,0.205421,0.009014,322.760101,70.794549,86.934215,84.493353,199.786487,0.214203
#11,0.211404,0.010664,323.437054,78.87118,82.480743,84.863928,205.270164,0.634593
#12,0.20428100000000002,0.024352,337.358815,73.043713,83.655092,89.075139,197.095446,0.231567
#13,0.20625200000000002,0.010388,329.075529,71.306821,85.08327,83.87677,215.936936,0.24581
#14,0.205923,0.010754,360.905333,77.589447,87.374474,80.835943,202.432835,0.22617199999999998
#15,0.204619,0.01102,326.848247,72.322887,83.214315,88.462402,203.382305,0.218292
#16,0.363283,0.01293,322.745892,72.602762,81.334865,82.436988,202.377126,0.229847
#17,0.233678,0.023801,361.405385,73.868009,84.908146,90.906743,199.885709,0.237527
#18,0.21053,0.009612,341.721192,73.716302,83.467904,84.250125,195.863845,0.234619
#19,0.301887,0.009474999999999999,324.581936,74.922245,84.812066,82.544447,209.712733,0.384187
#20,0.202057,0.01062,323.712916,75.859071,83.27089,83.853218,195.209197,0.226836
#21,0.396227,0.010375,339.165997,69.600594,82.741388,78.846251,201.294511,0.231294
#22,0.20627600000000001,0.012342,333.259525,76.224995,87.38151,80.462515,202.899195,0.317668
#23,0.206049,0.012346,311.181333,69.665463,83.308069,90.646776,199.353734,0.228803
#24,1.998769,0.011151999999999999,328.246034,77.387705,82.139966,80.466789,195.348369,0.30922000000000005
#25,0.20865999999999998,0.009943,322.655856,79.451078,93.273244,81.10586,193.998406,0.316865
#26,0.239118,0.007913,321.606617,73.860957,82.74197,80.777081,201.608355,0.347111
#27,0.237901,0.010180999999999999,325.408467,69.424058,80.820567,86.676661,203.180338,0.206102
#28,0.21432400000000001,0.01251,339.123179,77.758867,84.49636,84.048708,196.175962,0.245066
#29,0.26125,0.010529,326.092202,74.160382,83.407791,82.298195,198.441815,0.272878
#30,0.25792200000000004,0.269845,327.00726,73.309811,84.053244,80.679093,194.320068,0.22331299999999998
#31,0.209589,0.009493,321.116086,74.722477,80.807487,79.093252,194.798034,0.341955
#32,0.315553,0.010421,332.528618,77.604774,86.697645,84.673688,196.746921,0.24122200000000002
#33,0.222132,0.009545,324.217543,87.311645,85.243676,80.840474,194.926982,0.22607
#34,0.209925,0.019786,339.356312,75.247635,84.841746,85.543394,206.476324,0.261531
#35,0.215366,0.021924,331.283834,78.793963,87.897333,80.710884,201.960316,0.244455
#36,0.212428,0.010989,329.77914,77.411827,85.046478,81.127173,200.54687,0.23376
#37,0.232493,0.010491,322.18572,75.341793,83.667688,81.564531,202.375283,0.23852600000000002
#38,0.286764,0.010285,325.086648,75.913377,88.505456,87.415393,201.109342,0.293423
#39,0.22043700000000002,0.026976,325.556362,74.636602,83.596346,80.949234,218.448058,0.26223399999999997
#40,0.235278,0.012934,325.89374,73.780437,82.451537,79.713203,197.719507,0.323656
#41,0.24632300000000001,0.008413,323.34277,73.35147,82.606999,82.55295,208.812213,0.294114
#42,0.21138300000000002,0.47832600000000003,325.331502,70.31403,83.085955,84.02666,200.210625,0.22111
#43,0.217898,0.010261,347.281983,78.224147,88.743703,80.219411,197.877911,0.23952199999999998
#44,0.25789999999999996,0.010046,330.497365,75.469782,83.255346,82.673036,198.339183,0.237567
#45,0.360985,0.011127000000000001,321.623688,72.823603,83.935369,89.101419,194.099765,0.235611
#46,0.23662899999999998,0.014358000000000001,338.516052,82.846301,84.743048,83.742876,194.61824,0.31890300000000005
#47,0.26259,0.017579,329.509205,80.784731,101.790044,81.818928,202.99129,0.318069
#48,0.253563,0.017198,320.816928,75.190205,83.849822,80.894599,192.562273,0.237398
#49,0.664154,0.01226,319.94261,76.501542,89.061038,84.812733,200.45025,0.317378
#50,0.238927,0.017491,331.937838,76.060854,86.401899,80.984892,195.901166,0.304464
