iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.7242019,0.5161536000000002,0.47762805999999997,0.47675686000000006,0.06672333999999999,2066.903568219999,241.33275736000004,274.24396282,269.4643363999999,1373.8274144199997,46.49498283999999
#2,50,50,50,50,50,50,50,50,50,50,50
