iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11,query12,query13,query14
#1,0.6464997333333333,0.4711572999999999,0.4066889333333333,0.3874995666666668,0.4006436333333333,0.37912036666666665,0.38319303333333343,0.051390933333333354,1233.7958183,133.58425773333332,159.36625300000003,158.2507187666667,898.9923608999999,1.4622266666666668
#2,30,30,30,30,30,30,30,30,30,30,30,30,30,30
