iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11,query12,query13,query14
#1,0.640694,0.416694,0.402397,0.548862,0.49438,0.384152,0.386266,0.018305,1249.021693,131.601598,157.577132,148.36899,896.162626,0.743287
#2,0.445558,0.327766,0.311516,0.298772,0.31903,0.310503,0.294133,0.015178,1282.8018590000001,127.769213,169.534711,173.829235,895.399661,0.689286
#3,0.7254940000000001,0.528143,0.531409,0.44118,0.46063600000000005,0.432413,0.43021800000000004,0.026821,1155.174642,128.499847,149.218688,151.979688,850.001855,0.5425599999999999
#4,1.92578,0.722208,0.687924,0.683545,0.719112,0.6504220000000001,0.662355,0.022192,1250.9488159999999,138.374992,149.31005,155.212786,858.410032,0.5528390000000001
#5,1.184757,0.396345,0.38363099999999994,0.360097,0.399101,0.364145,0.342714,0.027471,1127.945783,128.44804,163.199441,152.520014,879.321675,0.592544
#6,0.591842,0.456769,0.48969999999999997,0.344588,0.31626499999999996,0.31382,0.29533499999999996,0.91512,1363.608514,150.619702,171.680325,166.616585,862.916013,0.547078
#7,0.842534,0.705877,0.573258,0.601361,0.496724,0.471877,0.619515,0.022883,1124.914113,126.704111,149.621525,148.181818,1012.5940840000001,0.571765
#8,0.5954790000000001,0.441019,0.41985,0.379073,0.422374,0.38791899999999996,0.37849099999999997,0.019998000000000002,1340.09557,126.143086,152.167752,147.161801,786.89796,0.567768
#9,0.497705,0.385515,0.34934699999999996,0.331593,0.354466,0.32521100000000003,0.322106,0.020739,1119.271746,125.738867,147.672661,146.335467,802.997097,0.5473089999999999
#10,0.533203,1.360889,0.415902,0.381768,0.396035,0.393389,0.39366,0.016751000000000002,1202.7831259999998,123.640602,153.352289,149.734297,916.969732,0.57484
#11,0.45428399999999997,0.391416,0.312156,0.296989,0.346371,0.337424,0.296026,0.038172,1469.568586,182.404988,210.086378,189.264363,1372.112641,25.578788
#12,0.641937,0.5678179999999999,0.44499700000000003,0.36022699999999996,0.38793,0.35017899999999996,0.41224500000000003,0.020609000000000002,1389.0140150000002,153.03887,161.979859,173.249636,953.05896,0.5751710000000001
#13,0.557589,0.435439,0.37653699999999996,0.391826,0.38295999999999997,0.371288,0.5055,0.039714,1217.814914,137.672631,162.452427,160.637686,890.894332,0.5393640000000001
#14,0.6222799999999999,0.472077,0.39651600000000004,0.387108,0.42557,0.379975,0.396786,0.029165,1253.012947,133.191647,150.296394,151.186968,990.271729,1.908508
#15,0.566855,0.412065,0.477288,0.390424,0.392578,0.46154700000000004,0.376278,0.022312000000000002,1171.281383,124.298769,146.896422,146.430456,855.079711,0.532582
#16,0.620257,0.435919,0.399511,0.40225599999999995,0.451018,0.376447,0.422334,0.015519,1193.15222,129.990309,151.030504,154.70916,792.783245,0.53744
#17,0.46304,0.340561,0.315954,0.29630700000000004,0.31081400000000003,0.316425,0.292029,0.013816,1215.48219,129.613881,152.15576,147.215683,841.558481,0.535667
#18,0.5349160000000001,0.415792,0.37382299999999996,0.40437,0.419068,0.389953,0.381757,0.044793999999999994,1295.2448809999999,129.90056,168.92752,191.430946,984.191238,0.498998
#19,0.436461,0.354056,0.350068,0.318399,0.35625,0.329941,0.34123200000000004,0.014667999999999999,1204.654333,126.216845,147.430005,148.385231,824.252877,0.504499
#20,0.664679,0.455507,0.41514,0.38572500000000004,0.421392,0.389893,0.433165,0.025818999999999998,1223.942925,136.532347,149.926278,147.33131,856.854116,0.559943
#21,0.535316,0.361119,0.30720800000000004,0.30891,0.317087,0.30591500000000005,0.302939,0.01611,1239.117012,131.521116,216.77919,196.892393,1029.573946,0.541037
#22,0.481746,0.389562,0.31362900000000005,0.295375,0.313419,0.31040300000000004,0.306036,0.019736999999999998,1257.274668,139.06046,166.409546,167.968807,888.79794,0.575192
#23,0.6268490000000001,0.440168,0.402507,0.37756,0.422815,0.417735,0.375346,0.01581,1266.7293129999998,127.994096,149.047155,149.114782,797.449909,0.5381509999999999
#24,0.569911,0.421002,0.39614499999999997,0.37376299999999996,0.403929,0.379584,0.378151,0.017863,1184.4613909999998,128.780704,160.437709,163.759464,856.830753,0.515279
#25,0.598745,0.44920499999999997,0.41283600000000004,0.493428,0.399581,0.428025,0.396084,0.014747999999999999,1203.541181,128.351478,151.734828,149.850926,950.273543,0.532701
#26,0.625086,0.455156,0.401805,0.38164800000000004,0.410452,0.38288,0.376087,0.017373,1160.5828600000002,130.78341,149.393076,147.168183,885.152797,0.576594
#27,0.545095,0.39938,0.32963,0.30171699999999996,0.319721,0.31986200000000004,0.312307,0.025197,1300.436522,136.173904,162.183261,162.588974,866.625346,1.330021
#28,0.465194,0.338026,0.312818,0.298692,0.320002,0.312458,0.30248899999999995,0.015209,1193.0634120000002,138.471183,155.34239,155.439172,962.577213,0.5051100000000001
#29,0.627129,0.42515,0.504588,0.409951,0.437502,0.3831,0.385164,0.016481000000000003,1235.451221,128.781917,153.378167,158.447739,795.573921,0.5452250000000001
#30,0.774577,0.434076,0.392578,0.379473,0.402727,0.396726,0.379043,0.013154,1123.482713,127.208559,151.766147,146.509003,814.187394,0.507254
