iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11,query12,query13,query14
#1,0.629895,26.970864,27.04283,28.290887,28.36755,28.380104,28.395432,0.051517,4153.237233,307.046651,416.821124,474.837964,4191.939563,197.909105
#2,0.60625,28.42042,28.30359,27.65484,26.722277,28.224191,28.583647,0.07094299999999999,4193.386052,231.357788,294.15784,288.661316,3924.7950180000003,192.200513
#3,0.606571,27.145844,28.451548,27.936761,28.335911,27.850819,28.078306,0.027893,3864.9676130000003,266.16274,355.237649,339.541801,4033.8287279999995,190.595736
#4,0.7527050000000001,32.842874,31.478949,28.097482,28.097984,28.097502,28.003777,0.045905999999999995,4028.1152369999995,255.756647,302.733703,299.438929,4120.520837,190.098141
#5,0.783082,30.177663,28.310543,33.4841,29.611149,29.624053,28.200115,0.04759,3967.2110979999998,230.896741,295.796762,300.749373,4289.173199999999,202.954831
#6,0.920621,29.126898,28.930369,33.63896,58.820471,27.893429,27.708642,0.050204,4022.464533,261.222803,416.008176,526.957668,4096.8256,190.905548
#7,0.712108,32.34613,27.461166,28.419889,28.836432,30.115206,29.5001,0.06283899999999999,4750.187116,320.441303,408.12718,422.337335,4900.153649,267.227482
#8,0.692392,31.530847,29.856811,32.093335,28.13307,68.787088,28.679767,0.054523,4856.040999,232.338662,358.309544,366.223482,4497.812167,199.576098
#9,0.7430869999999999,29.906403,29.022211,29.41516,28.789284,29.104686,33.640062,0.050936,5094.23559,300.925824,402.048002,402.038113,4475.539344000001,240.755826
#10,0.696179,45.938633,46.233929,34.630525,35.434486,32.3303,30.892518,0.07352800000000001,4529.781348,271.723023,381.635697,412.929739,4854.570355,217.902492
#11,0.855989,40.673345,42.728258,40.913006,41.433184,39.937882,48.567806,0.065263,4185.204491,231.448568,348.986076,327.441903,4301.096175,197.277307
#12,0.743899,36.838215,39.846911,43.286858,48.725303,37.746142,33.268554,0.044302999999999995,4533.839207,250.594943,330.356343,316.051039,5130.939151,275.856223
#13,0.8509500000000001,39.082454,39.659098,40.147346,39.908908,39.35159,39.22947,0.060433999999999995,4794.554346,267.966321,385.631759,346.296119,5057.902875,232.043697
#14,3.453974,42.424577,28.423115,37.807087,44.950616,48.549573,29.964352,0.043522,4402.168309000001,268.675404,388.758557,375.232689,4622.333113,462.10118
#15,0.68609,33.828356,44.732406,29.613864,35.765027,36.293821,37.881867,0.048521,4942.003186,356.580704,501.692561,463.272031,4427.193375,191.909105
#16,0.789885,0.491484,0.462529,0.482387,0.50008,0.45019600000000004,0.450758,0.056656,4274.568243,310.720357,398.198675,299.253379,4491.75537,194.86423
#17,1.041748,0.91476,0.832425,0.801447,0.703794,0.8547870000000001,0.929808,0.066565,4014.839719,296.878775,331.724294,364.481207,4188.198089,131.63437
#18,0.89373,0.7371660000000001,0.78146,0.72862,0.729241,0.71799,0.711908,0.073819,4301.336336,223.363488,408.824311,285.561079,4920.2076400000005,127.415278
#19,1.029716,0.584108,0.577997,0.44878300000000004,0.5208189999999999,0.43056900000000004,0.42797500000000005,0.087284,4046.16495,211.946745,286.176666,278.376481,4376.325995,138.394058
#20,0.741053,0.658067,0.649691,0.62261,0.550785,0.64878,0.619535,0.065814,4125.718709,209.86431,319.756445,325.713955,4271.683029,126.218228
#21,0.805063,0.573579,0.558399,0.555805,0.593606,0.5525789999999999,0.645043,0.050595,4601.817935,276.294668,414.817298,296.801801,4525.487144999999,135.487002
#22,0.8284579999999999,0.676832,0.644842,0.734862,0.633251,0.561025,0.48904000000000003,0.050434,3887.077149,201.494485,300.960619,350.487889,4405.788023,127.957507
#23,1.094498,0.8599370000000001,0.819941,0.828637,0.947692,0.993057,0.8923369999999999,0.083537,3985.3761090000003,202.872566,280.818202,275.107336,4299.559706,128.01735
#24,0.750521,0.5922229999999999,0.820302,0.663227,0.5296559999999999,0.615768,0.60649,0.044633000000000006,4222.375021000001,290.574283,428.149481,450.159771,4292.443969,132.354473
#25,0.796588,0.570723,0.55847,0.577405,0.513255,0.507283,0.485774,0.044263,4140.0696689999995,224.84839,313.611723,276.659032,4023.443875,154.170768
#26,0.8702559999999999,0.575172,0.598144,0.535106,0.552308,0.523183,0.545616,0.064391,3881.0720189999997,247.254252,352.315996,318.878525,4348.829291999999,130.840648
#27,0.816825,0.5663039999999999,0.5287540000000001,0.5542720000000001,0.603885,0.644462,0.598645,0.050635,4094.4321109999996,226.516446,326.993981,320.189609,4585.708671,127.829516
#28,0.7993920000000001,0.5768949999999999,0.579229,0.525949,0.6146860000000001,0.548551,0.6040449999999999,0.050365,3955.952232,207.767709,336.64742,310.226469,4583.584246,132.215392
#29,0.833588,0.5765739999999999,0.5453150000000001,0.535768,0.59569,0.577545,0.589278,0.10084,4090.3380450000004,258.745145,295.979636,311.6847,4367.510312,128.664056
#30,0.983169,0.9244880000000001,0.5122329999999999,0.50536,0.47376,0.44136000000000003,0.451569,0.030247,4015.3973580000006,214.982202,324.180973,346.728982,5538.288018,128.156432
