iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.6383908,5.2172886,4.6846452,4.3600209,0.12870510000000002,976.9667041999999,11166.724328200002,11459.0300227,9470.3851958,472725.9131105,11.8756894
#2,10,10,10,10,10,10,10,10,10,10,10
