iteration,query1,query2,query3,query4,query5,query6,query7,query8
#1,0.5887939999999999,0.057898000000000005,1388.277437,177.998721,190.416668,189.518115,922.418847,22.057594
#2,0.507538,0.036582,1341.7311599999998,176.030521,188.736894,187.223231,938.080802,24.614428
#3,0.518049,0.028592,1380.185644,173.514066,187.288779,185.70237,945.215442,22.322523
#4,0.432769,0.022071,1424.517247,175.613057,190.587635,187.61018,980.306742,23.076386
#5,0.452129,0.34395,1460.125049,167.260321,203.478477,193.41846,965.52506,21.819675
#6,0.439077,0.044558,1501.1842769999998,179.431742,193.332761,189.009694,1014.485367,22.082966
#7,0.47530500000000003,0.038088000000000004,1451.184115,180.318617,189.201199,193.136085,976.094302,21.717355
#8,0.543233,0.038277,1426.78878,166.245503,192.734153,192.134142,1080.6071829999998,22.254037
#9,0.466019,0.021841000000000003,1344.5933670000002,177.655936,189.049488,187.29022,913.004453,22.654141
#10,0.441901,0.041432000000000004,1395.210789,172.534347,188.241179,188.650272,971.51363,21.753097
#11,1.637839,0.043746,1408.106086,178.026523,199.593133,196.609912,1001.9263860000001,23.694913
#12,0.472155,0.020222999999999998,1453.2286299999998,168.182263,191.60859,188.29877,956.82278,21.856817
#13,1.340025,0.049629,1423.623059,175.680299,194.197207,188.633668,993.615085,22.096843
#14,0.481648,0.026869,1504.5855290000002,178.091018,192.308125,188.999087,1038.062435,22.342206
#15,0.461117,0.7765359999999999,1553.2589779999998,178.696351,189.099224,187.761978,996.389276,22.149751
#16,0.49282400000000004,0.031363,1491.008251,175.805095,190.441974,190.176807,991.656797,22.036824
#17,0.452231,0.021247,1456.681834,177.893137,188.223829,189.885887,974.551468,22.668333
#18,1.416757,0.025473,1505.172024,176.606255,189.613188,189.588337,985.815101,22.113209
#19,0.479399,0.026829000000000002,1626.037172,178.810234,190.680926,189.482683,1018.3387690000001,21.914335
#20,0.467306,0.055719000000000005,1486.025905,182.270557,189.012759,188.24867,974.440776,31.774378
#21,0.445793,0.021117999999999998,1538.867921,181.980418,196.253201,193.038357,1109.829353,27.889373
#22,0.777376,0.047623,1601.914322,180.440435,197.612384,192.702807,1090.412296,28.458398
#23,0.49679399999999996,0.023223,1613.4563019999998,179.369723,193.578261,192.163289,1089.8270340000001,28.18663
#24,0.479659,0.021687,1495.4887489999999,180.647889,191.886679,193.637629,1183.130453,27.713371
#25,0.461973,0.043141,1622.530475,180.751062,194.151476,194.091978,1132.951288,28.016366
#26,1.609674,0.058254,1629.531506,184.555257,198.862222,195.208888,1081.698233,28.504199
#27,0.463308,0.021234000000000003,1650.847769,192.518685,201.424658,199.103183,1129.36357,29.534005
#28,0.47895,0.031299,1626.993484,180.298331,194.780948,194.616309,1166.303473,30.483638
#29,2.073208,0.039776000000000006,1663.441022,181.179836,195.010031,194.612156,1103.85215,28.35849
#30,0.452124,0.022006,1650.80585,185.948585,195.132454,193.924066,1101.295326,28.340231
#31,0.48243400000000003,0.023227,1588.4159470000002,189.669147,201.442271,196.264264,1113.7617539999999,28.983549
#32,0.501348,0.044454,1651.317736,187.468448,200.704175,190.59064,1188.860802,28.981212
#33,0.510943,0.023799,1587.969071,184.58121,196.724255,190.173902,1147.653497,28.233433
#34,0.50974,0.023704999999999997,1630.191243,186.280201,193.67903,197.022802,1134.30901,27.634236
#35,0.4486,0.023988,1705.4947499999998,192.858155,217.675633,203.920021,1098.647371,28.887698
#36,0.464048,0.02504,1628.0563889999999,181.523398,192.347217,190.921227,1153.2891869999999,29.177399
#37,0.49465800000000004,0.025278,1674.7905970000002,182.980446,200.587747,198.398409,1166.8831850000001,28.355831
#38,0.452124,0.050493,1672.623738,185.002659,194.599605,196.101965,1103.669484,27.630446
#39,0.475277,0.026676,1670.718981,194.333886,211.200239,196.983089,1131.894936,29.187009
#40,0.5194070000000001,0.055911999999999996,1645.05662,184.555699,197.847273,195.473023,1217.727669,32.354238
#41,0.483636,0.022984,1628.50335,188.003131,215.992609,215.554253,1211.774048,30.096819
#42,0.485519,0.054619999999999995,1973.529677,181.453394,199.761671,204.949524,1155.686925,27.958308
#43,0.470968,0.038482999999999996,1752.239028,183.044077,195.822267,196.6351,1241.565138,29.209586
#44,0.456296,0.021887,1682.228977,185.467949,196.827333,198.477937,1208.190499,32.914592
#45,0.465276,0.028366,1694.578789,183.230999,197.346961,196.074934,1248.086798,30.796401
#46,0.48089499999999996,0.021632000000000002,1706.486387,183.961498,201.248828,197.831544,1223.72513,29.129126
#47,0.5363920000000001,0.025322,1751.678013,191.157054,194.047481,191.718383,1218.56253,29.570099
#48,0.486214,0.019639,1767.281857,195.050664,227.849341,217.396718,1240.8262690000001,29.86698
#49,0.523779,0.068738,1736.165731,183.000535,199.019153,195.772304,1189.8609510000001,28.427026
#50,0.7413909999999999,0.023751,1703.480965,193.302715,195.866922,189.176173,1198.059392,31.092184
