iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.47872000000000003,0.36022899999999997,0.280613,0.270822,0.015642,1277.659741,282.281416,378.938012,399.597296,701.073617,0.42502100000000004
#2,0.483678,0.318545,0.28695600000000004,0.24991300000000002,0.014944,1373.4027689999998,283.548181,384.362941,384.830022,724.616541,0.434995
#3,0.49722500000000003,0.309022,0.276982,0.26706,0.12057899999999999,1278.254685,283.436362,391.411461,389.046714,734.966551,0.447214
#4,0.43743200000000004,0.298102,0.264672,0.252185,0.014811,1313.948208,282.323842,377.302676,380.045857,723.915761,0.413194
#5,0.423462,0.350027,0.28454700000000005,0.26341699999999996,0.015728,1351.160276,283.084714,376.292723,377.858637,702.226092,1.094951
#6,0.457995,0.307035,0.251642,0.25274199999999997,0.028135,1289.589098,279.673129,380.399863,400.263208,708.172655,0.427079
#7,0.43433999999999995,0.288058,0.279096,0.250984,0.035736,1280.813118,272.798608,399.355232,383.037589,754.633591,0.8962709999999999
#8,0.405463,0.281411,0.277803,0.277575,0.017502,1294.559839,283.437152,383.431739,380.699273,718.060188,0.42929500000000004
#9,0.43710000000000004,0.308558,0.29608,0.274206,0.016099,1275.938086,299.51077,382.378972,381.948745,713.250029,0.444899
#10,0.42368700000000004,0.30845999999999996,0.283997,0.25571299999999997,0.015652,1261.7081320000002,277.501532,378.280451,377.418886,809.686882,0.431108
#11,0.400263,0.31267399999999995,0.285991,0.264653,0.033868,1248.47704,300.074352,394.700361,373.162795,703.646789,0.462882
#12,0.436641,0.32146399999999997,0.290301,0.26738799999999996,0.041575,1252.445994,284.139401,383.220039,382.09873,711.557839,0.418937
#13,0.40902,0.288845,0.253149,0.241346,0.020010999999999998,1257.5279189999999,279.373561,381.106402,384.1282,769.310954,0.432298
#14,0.40776,0.32818,0.299118,0.273387,0.01626,1244.997802,283.757875,390.145284,382.2742,743.835609,0.413451
#15,0.42955099999999996,0.297108,0.27053,0.256012,0.034894,1301.229641,270.398673,374.717065,381.630138,698.239921,0.47589299999999995
#16,0.436299,0.316534,0.277746,0.27194,0.017254000000000002,1270.4505120000001,277.441186,381.788795,423.044378,734.783168,0.42200299999999996
#17,0.436828,0.279874,0.277715,0.267401,0.014561999999999999,1257.540207,287.114351,379.331034,379.077804,699.896624,0.443436
#18,0.46108699999999997,0.343174,0.326683,0.294356,0.034829,1328.431414,302.488918,393.291634,384.917987,706.81104,0.506149
#19,0.42554899999999996,0.305888,0.280559,0.26008499999999996,0.027171,1307.679537,293.558168,446.326471,384.259726,699.792032,0.456769
#20,0.42964600000000003,0.313508,0.311624,0.268255,0.023739,1292.555171,287.916977,383.54805,376.018535,732.821229,0.41095800000000005
#21,0.45838,0.333438,0.26452800000000004,0.263955,0.016876000000000002,1278.55719,291.697246,377.517442,382.284166,704.109907,0.42669
#22,0.43325400000000003,0.283332,0.280802,0.26798500000000003,0.015423,1319.6809739999999,289.091578,385.086777,375.70371,733.346707,0.439098
#23,0.43674799999999997,0.426288,0.319197,0.32555,0.021779,1268.631188,284.272813,377.599356,379.418011,721.928337,0.450821
#24,0.5159210000000001,0.314142,0.307643,0.287921,0.026779,1248.594769,287.892866,389.873568,401.472525,712.575233,0.45901600000000004
#25,0.473155,0.300102,0.297334,0.270355,0.014535,1311.170892,276.377795,390.77394,379.028737,710.138326,0.826001
#26,0.454033,0.331911,0.27295600000000003,0.24609299999999998,0.023252,1264.146794,287.458719,381.179118,383.689478,779.918148,0.469177
#27,0.47180900000000003,0.31251100000000004,0.316387,0.26958,0.024503,1260.965611,287.157614,382.83113,382.520127,699.99578,0.45369299999999996
#28,0.464755,0.305054,0.289008,0.26778399999999997,0.028062,1351.319151,280.077552,379.149188,382.832679,730.496768,0.419813
#29,0.5196770000000001,0.32375099999999996,0.276903,0.270334,0.016013000000000003,1271.9491,278.788958,390.052414,377.938968,703.648238,0.43220800000000004
#30,0.461241,0.30721499999999996,0.285884,0.262699,0.033976,1249.700073,287.080448,408.602962,387.134906,729.806961,9.066055
#31,0.437774,0.341298,0.314136,0.292294,0.037481,1284.967261,280.541307,379.52844,378.311775,699.711991,0.415627
