iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11,query12,query13,query14,query15,query16,query17,query18,query19,query20,query21,query22,query23,query24,query25,query26,query27,query28,query29,query30,query31,query32,query33,query34,query35,query36,query37,query38,query39,query40,query41,query42,query43,query44,query45,query46,query47,query48,query49,query50,query51,query52,query53,query54,query55,query56,query57,query58,query59,query60,query61,query62,query63,query64,query65,query66,query67,query68,query69,query70,query71,query72,query73,query74,query75,query76,query77,query78,query79,query80,query81,query82,query83,query84,query85,query86,query87,query88,query89,query90,query91,query92,query93,query94,query95,query96,query97,query98,query99,query100,query101,query102,query103,query104,query105,query106,query107,query108,query109,query110,query111,query112,query113,query114,query115,query116,query117,query118,query119,query120,query121,query122,query123,query124,query125,query126,query127,query128,query129,query130,query131,query132,query133,query134,query135,query136,query137,query138,query139,query140,query141,query142,query143,query144,query145,query146,query147,query148,query149,query150,query151,query152,query153,query154,query155,query156,query157,query158,query159,query160,query161,query162,query163,query164,query165,query166,query167,query168,query169,query170,query171,query172,query173,query174,query175,query176,query177,query178,query179,query180,query181,query182,query183,query184,query185,query186,query187,query188,query189,query190,query191,query192,query193,query194,query195,query196,query197,query198,query199,query200
#1,34.838232,25.043046,34.656937,23.575801,35.818196,28.073857,38.544135,23.280815,36.685832,23.475921,35.655195,24.449647,36.159337,24.599824,35.425719,32.477778,35.369457,24.392432,37.009026,24.278928,35.042996,24.030661,35.500859,25.141316,34.80403,24.399236,35.904857,24.058009,36.559305,25.56806,41.095886,26.767457,36.478038,28.364838,36.865505,24.795676,36.343592,25.653889,38.839843,25.556397,37.372132,26.704103,39.282475,25.418911,37.863868,25.908479,37.104596,25.251954,40.126649,28.856547,37.737234,25.792952,40.032947,27.782625,38.708461,25.815817,38.742595,29.484203,37.931107,25.091831,36.546184,29.728585,37.544481,25.31334,38.338133,31.810945,38.766903,24.872726,37.393386,26.601775,39.084861,27.623911,42.43647,29.333067,39.342126,27.667734,40.767927,28.985205,36.803493,27.082911,39.993484,27.798337,37.689754,24.236751,38.105679,26.971218,38.53131,27.39033,45.516113,27.11126,39.422809,27.833499,40.796881,26.790246,37.912688,26.264274,40.910821,28.043007,42.203321,28.856822,38.242508,27.045686,38.815583,26.247422,38.452004,24.581922,40.273846,28.590559,38.716391,27.747995,40.257677,31.288543,54.209948,24.508131,40.428422,24.760391,43.234211,28.152737,37.055316,27.37388,36.916278,25.811606,41.449881,28.129078,37.772116,27.154801,39.744491,26.994461,38.045566,25.742637,39.216333,26.358569,40.496058,29.572393,35.631356,23.384618,37.441773,25.520111,39.856772,28.094802,38.331044,26.513598,36.096037,26.532728,38.228722,26.096274,41.011104,30.5968,38.363376,26.326009,38.069936,27.844345,37.265496,28.718973,41.163198,27.997329,38.286118,26.5545,39.901849,25.514869,41.46706,28.450849,44.375111,25.557269,39.917701,28.975787,38.988544,26.178062,36.778291,24.430599,36.476088,25.575067,36.313442,25.53771,39.409337,25.031049,36.50302,25.217788,38.249643,26.066172,37.955245,26.395532,40.014961,26.988127,36.767828,25.918607,40.249998,26.975118,37.256964,24.063291,39.104421,26.151877,38.696559,24.874387,34.748135,25.70732,39.021205,26.570687,36.428285,25.08894
#2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
