iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.743317,1.130997,0.5482509999999999,0.426882,0.044874000000000004,1047.585487,190.594744,307.331797,299.809526,468.058259,0.552078
#2,0.634002,0.45147899999999996,0.421012,0.405242,0.018945,1093.5229390000002,204.053837,268.756937,290.84401,573.943842,0.7447
#3,0.653278,0.5697920000000001,0.519397,0.54812,0.038332,1272.0565479999998,228.361725,284.98244,257.959037,548.811143,11.429607
#4,0.540987,0.37435399999999996,0.343646,0.329169,0.0268,994.197369,195.923161,303.95587,298.100963,521.672963,0.901725
#5,0.6663429999999999,0.482858,0.529635,0.418206,0.046958,1098.275243,241.379508,311.822099,332.86032,568.528321,0.6883640000000001
#6,0.575212,0.495201,0.35628,0.344658,0.035327,992.124371,181.801012,326.792102,313.767436,491.285616,0.519707
#7,0.468561,0.36187,0.335201,0.322436,0.034786000000000004,965.426991,187.393956,267.264371,290.750284,469.032621,0.578307
#8,0.587314,0.44331400000000004,0.415901,0.405152,0.027823,1014.06496,261.037505,432.273414,372.103746,638.369741,0.545004
#9,0.578176,0.494019,0.562698,0.502915,0.047459,1051.008382,192.233014,282.698216,277.18447,480.534524,0.520248
#10,0.507565,0.360808,0.344488,0.3403,0.04245,1075.216072,197.923642,274.480768,266.708717,527.123911,0.509417
#11,0.582195,0.446419,0.45951400000000003,0.401315,0.021981,1004.352069,183.125011,260.459789,280.174212,447.969312,0.62761
#12,0.567396,0.449064,0.407747,0.408418,0.03731,1110.746418,231.87527,288.181415,298.307571,486.504247,8.706889
#13,0.741765,0.50514,0.490502,0.453032,0.019917999999999998,950.741553,191.877596,290.070516,269.101244,526.408115,0.53163
#14,0.650513,0.487185,0.436691,0.48988099999999996,0.037089,1120.272768,200.998312,268.729365,260.993693,466.378601,0.512814
#15,0.583677,0.45763099999999995,0.428195,0.407466,0.05325,904.945708,180.593602,261.677538,264.363708,464.153268,0.502094
