iteration,query1,query2,query3,query4,query5,query6,query7,query8
#1,3.599317,0.194115,1198.1033080000002,190.702186,276.31149,275.398453,817.756765,19.057648
#2,0.786989,0.045204999999999995,1173.51436,196.864591,297.243111,286.097728,839.340361,16.689506
#3,1.025067,0.05189800000000001,1335.387859,203.676368,343.78063,337.115399,818.181864,17.034765
#4,0.941601,0.054513,1133.4200839999999,190.90696,329.100111,296.668029,818.718612,16.27719
#5,0.730814,0.026059000000000002,1107.2161119999998,212.251117,284.383935,264.027657,770.434781,17.277371
#6,0.7160359999999999,0.029876,1208.6292460000002,217.918772,299.153282,293.797944,886.001563,17.661874
#7,0.6767219999999999,0.099688,1288.909842,219.433931,318.717191,285.359961,828.758427,16.751683
#8,0.861841,0.06514199999999999,1198.223314,195.012419,285.979305,270.264592,777.438857,17.138861
#9,0.726446,0.055435000000000005,1271.742608,200.308235,310.880058,265.448778,828.010651,18.268805
#10,0.7352519999999999,0.027101,1205.635057,211.890619,278.929051,286.699278,874.245382,17.69706
#11,1.097343,1.595169,1158.04011,194.076058,269.523829,265.632333,791.471609,16.144411
#12,0.754699,0.02657,1155.324916,214.315027,283.444109,373.921013,834.731386,17.123361
#13,0.783362,0.048872,1208.816257,190.568214,288.762016,264.949219,780.992108,17.334138
#14,0.801747,0.050034,1210.8189519999999,203.290071,281.032745,322.380629,932.597543,17.190768
#15,0.737898,0.061725999999999996,1246.294125,195.48651,285.740385,266.778688,813.401777,17.426782
