iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.47166699999999995,0.36644299999999996,0.23439,0.193125,0.044348,709.438996,4814.72753,5680.451132,3452.62036,114685.095519,1.653878
#2,0.377682,1.100662,0.9985320000000001,0.731885,0.012613,742.015699,5462.6175840000005,5833.285341,3985.10625,147904.418515,3.253394
#3,0.535399,1.715213,1.549163,1.14836,0.019369,744.90235,6165.81654,6254.380185,5107.908976,198931.67947,3.843381
#4,0.867921,2.228431,1.981394,1.324952,0.011199,761.687438,6568.994402,6651.619828,5269.14069,237983.31240199998,5.438775
#5,0.599668,3.337849,2.820082,2.297072,0.012002,747.236141,7242.871648,7440.4149720000005,5942.369469,275689.007853,6.283224
#6,0.495557,3.426514,3.185688,2.217132,0.010981,757.438962,7983.423989,7870.940908,6769.612103,308704.527171,8.024141
#7,0.39360300000000004,4.672307,4.241463,3.625923,0.37314299999999995,775.090342,9010.035299,9047.852727000001,7594.295493,359144.147902,9.087112
#8,0.49754000000000004,4.987305,4.646743,4.594396,0.011217000000000001,728.138424,9234.227382000001,9153.607211,8446.553819,371841.495292,10.458738
#9,0.536799,5.545559,5.051522,4.401809,0.011082000000000002,767.53308,10117.137121000002,10076.19854,8572.737602,395019.474513,9.456267
#10,0.47219099999999997,5.55515,5.670103,5.716094,0.013304,782.454465,10408.7399,10363.682988,8914.306026,427957.269307,12.167746
