iteration,query1,query2,query3,query4,query5,query6,query7,query8
#1,0.5990432,0.021572599999999997,805.9883816999999,9119.5527782,8413.293657600001,6414.4581019,353044.30672740005,8.6960969
#2,10,10,10,10,10,10,10,10
