iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.5248027000000001,3.2935433000000005,3.0379080000000007,2.6250748,0.05192579999999999,751.5935896999998,7700.859139500001,7837.243383200001,6405.4650788,283786.0427944,6.966665599999999
#2,10,10,10,10,10,10,10,10,10,10,10
