iteration,query1,query2,query3,query4,query5,query6,query7,query8
#1,1.243641,0.26575299999999996,522.945614,100.101599,130.831076,130.963638,337.719435,8.343525
#2,0.419743,0.030074,521.759758,97.509032,145.431533,130.388093,340.301027,7.23785
#3,0.477133,0.205394,541.105928,93.693806,134.055214,128.072186,339.354624,7.743319
#4,0.752642,0.017117,534.548923,106.103455,129.293527,136.292399,334.432246,8.636735
#5,0.40453300000000003,0.022721,527.183321,99.488924,130.038081,130.586035,334.458452,8.175426
#6,0.405911,0.025802,506.649617,97.603887,133.344219,129.658995,331.084463,7.259388
#7,0.422666,0.016502,511.997248,96.224529,129.062319,131.284724,340.778406,7.922069
#8,0.464009,0.016003,573.277281,100.277498,134.028527,130.178216,341.031012,7.982721
#9,0.505321,0.019072,526.545163,96.293905,128.42381,130.527492,332.188908,7.260805
#10,0.543143,0.025353999999999998,514.179228,98.797763,138.172398,133.444226,337.069542,7.465948
#11,0.387883,0.046407,529.622884,99.768572,133.595257,133.910684,344.979656,9.068231
#12,0.46752999999999995,0.02223,538.543047,99.87778,128.146816,128.285186,334.962509,7.510648
#13,0.371947,0.025241,529.033816,99.769105,151.316497,128.402869,337.602671,7.802684
#14,0.645848,0.015998,537.857699,94.870666,129.134683,129.493007,336.844868,8.118952
#15,0.525598,0.015659,515.225549,99.792676,131.603893,131.994551,351.774675,7.267977
#16,0.393592,0.023462,529.565035,96.707211,134.250384,130.372195,345.971569,6.763554
#17,0.397563,0.021835,515.523685,97.818249,133.371404,130.799888,351.491454,8.421724
#18,0.458513,0.016587,538.342341,99.355688,129.634641,130.377678,364.005007,7.805383
#19,0.570511,0.014342,551.192215,98.376911,131.027155,129.309187,339.223404,7.605082
#20,0.432114,0.023715,519.285733,97.962322,127.42539,136.747977,315.442893,10.734361
#21,0.394323,0.026018999999999997,538.962399,100.849455,130.116446,130.974723,361.668687,11.020586
#22,0.401991,0.014103,521.73125,98.588381,131.9883,133.082097,369.028221,10.707076
#23,0.466295,0.030799,558.157083,104.154299,135.31945,132.011823,365.999369,10.075414
#24,0.5148039999999999,0.034067,528.537832,98.955911,127.951013,139.609396,374.624357,10.779291
#25,0.41333600000000004,0.041037,550.217392,105.11754,131.576007,134.821574,377.885742,10.394317
#26,0.468392,0.018788,538.096168,100.528601,131.082665,137.298047,368.976218,10.753498
#27,0.437927,0.025008,535.523566,105.650072,134.97063,132.177668,370.587646,10.918503
#28,0.5243329999999999,0.019158,532.837311,97.668027,130.247679,130.504276,373.116842,17.797215
#29,1.074576,0.020333999999999998,549.579906,98.480621,133.441908,130.113606,378.213903,9.846889
#30,0.55265,0.017876,560.126168,101.828838,132.834641,133.211152,383.451783,11.288327
#31,0.435318,0.02112,567.779389,104.392283,135.456598,131.56828,372.288508,10.424352
#32,0.6250370000000001,0.019077999999999998,545.393636,100.915654,135.861668,130.140788,379.611946,10.03526
#33,0.49923,0.023939,546.908254,104.751509,134.573792,129.923279,372.172609,10.318994
#34,0.5225339999999999,0.021439,556.042569,99.066986,130.813878,132.830683,370.138464,10.505284
#35,0.494709,0.02048,528.455525,99.989007,133.336446,134.042281,380.903933,10.147786
#36,0.552957,0.01666,538.337343,99.583833,128.551815,132.486688,357.278761,14.303641
#37,0.503371,0.018182,551.541298,103.341948,134.276643,130.717672,368.79899,11.789785
#38,0.6995220000000001,0.021812,568.080889,105.381508,137.087287,130.145282,379.388093,10.959783
#39,0.445642,0.019388000000000002,548.542125,96.501488,132.237167,131.799176,372.495005,9.834616
#40,0.462517,0.016885999999999998,551.246441,101.0336,136.668081,133.05211,366.438679,12.663804
#41,1.645966,0.025641999999999998,547.644309,105.210528,130.563966,131.999214,378.571115,10.744074
#42,4.127846,0.052008000000000006,554.116892,102.347533,135.840253,132.119011,381.16382,11.120567
#43,0.452305,0.022494,543.205999,99.859235,134.690417,131.229981,377.172768,10.73808
#44,0.838069,0.016062,549.372844,103.904511,134.989987,130.778314,434.655658,10.466378
#45,0.47247300000000003,0.017082999999999997,548.653983,104.414015,133.420993,134.763194,376.288733,9.152665
#46,1.264462,0.020123000000000002,540.381499,101.810371,136.745044,131.923595,381.249106,9.834959
#47,0.450091,0.020158000000000002,534.887176,106.908911,129.44323,131.496822,389.079827,11.637292
#48,0.47746,0.025620999999999998,537.982205,103.285082,130.587968,129.388302,392.650741,10.112045
#49,0.456569,0.021331,587.955109,103.552517,134.553218,129.571273,388.499978,11.256571
#50,0.561883,0.03479,562.360519,110.177321,131.695878,133.709225,381.688737,11.308156
