iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.21748699999999999,0.14996600000000002,0.119991,0.10601300000000001,0.014093,427.68883,92.006445,126.947238,127.297244,220.842944,0.200648
#2,0.343037,0.16194,0.128477,0.113469,0.0099,413.224742,97.450379,125.85897,122.499772,218.936466,0.18514
#3,0.225709,0.164697,0.122979,0.114068,0.009734,410.128963,95.377836,128.034741,131.152185,216.991717,0.188331
#4,0.205352,0.14287,0.124599,0.10996399999999999,0.019577999999999998,413.320539,95.641452,124.12694,126.403911,221.70065,0.187799
#5,0.19526,0.133227,0.11738599999999999,0.11169,0.018375,417.870378,97.863231,124.673691,125.094238,221.925377,0.17862
#6,0.179711,0.127602,0.106019,0.096748,0.014922000000000001,433.967774,100.027002,128.87918,125.572218,220.350911,0.191883
#7,0.234786,0.142112,0.128383,0.119875,0.012468,422.050355,100.187113,126.306675,126.494751,221.304554,0.244137
#8,0.217158,0.141868,0.12459,0.117726,0.026861999999999997,458.32936,94.980463,131.966017,130.473541,217.166971,0.22511699999999998
#9,0.202869,0.134515,0.120412,0.113088,0.01122,423.922703,97.651864,129.513702,129.181617,219.478734,0.18549100000000002
#10,0.181105,0.131423,0.12062099999999999,0.109982,0.010173999999999999,423.183977,97.437692,124.844427,127.773444,215.311774,0.190826
#11,0.181575,0.13760499999999998,0.120394,0.110609,0.011555999999999999,431.299415,97.027985,124.179229,129.576078,218.665701,0.18671600000000002
#12,0.17810800000000002,0.128309,0.123641,0.107401,0.010026,428.192415,100.610566,132.747344,126.623866,218.863398,0.172583
#13,0.18565700000000002,0.12536,0.11561400000000001,0.106098,0.020614999999999998,424.137338,92.706111,132.73191,132.01235,216.181702,0.174657
#14,0.212034,0.141587,0.121122,0.10628499999999999,0.025181000000000002,419.527788,97.983979,130.2947,123.984208,217.532256,0.17555199999999999
#15,0.191129,0.126774,0.117556,0.10995999999999999,0.012096,419.394326,93.418168,129.509617,129.565123,223.951889,0.246408
#16,0.229638,0.141308,0.12189799999999999,0.114111,0.012743,422.686008,98.222465,126.723622,125.209285,228.728557,0.200419
#17,0.219113,0.140815,0.12186100000000001,0.110721,0.018196,424.312041,96.818091,125.841156,126.185048,224.856853,0.199716
#18,0.264186,0.134029,0.140714,0.112072,0.010154999999999999,426.60459,95.39487,129.067425,129.458259,219.101755,0.20858600000000002
#19,0.182119,0.122307,0.11231699999999999,0.108214,0.021301999999999998,431.17355,101.263511,128.610021,127.876221,215.552615,0.174848
#20,0.22264799999999998,0.133523,0.111714,0.10629999999999999,0.015128,431.734396,105.441887,130.406258,124.642653,214.149911,0.174725
#21,0.19717099999999999,0.170486,0.128909,0.10837000000000001,0.019371,429.925461,96.363908,126.912714,131.56908,219.473447,0.24534
#22,0.212074,0.14718199999999998,0.119631,0.110106,0.014018000000000001,426.532782,99.501574,126.188416,126.870315,218.99201,0.175891
#23,0.218054,0.175011,0.11576600000000001,0.105735,0.019292,416.406487,95.359826,128.196631,130.023694,229.898043,0.217375
#24,0.19240100000000002,0.126447,0.11551600000000001,0.111595,0.013515000000000001,421.452525,95.937377,125.71169,126.735722,215.702141,0.18187799999999998
#25,0.19600800000000002,0.177074,0.130457,0.115243,0.008615,426.143107,97.022587,134.099061,129.733586,224.371731,0.181705
#26,0.20663499999999999,0.138984,0.116446,0.107516,0.013974,425.908048,92.503679,125.299964,123.985887,220.777893,0.193967
#27,0.207624,0.163619,0.117698,0.108508,0.010625,432.380759,96.711595,127.814515,126.07565,217.976567,0.193435
#28,0.215292,0.134404,0.12073099999999999,0.110248,0.011987,429.038302,98.651076,130.916699,126.591317,224.554399,0.188804
#29,0.22151300000000002,0.14621,0.132488,0.12048600000000001,0.200706,419.411831,101.882024,130.33302,128.80364,218.502196,0.226124
#30,0.21393,0.25583,0.12821000000000002,0.148847,0.014169000000000001,438.348767,94.3834,123.522104,131.531898,218.752552,0.18413200000000002
#31,0.187013,0.176257,0.117632,0.11031300000000001,0.045866,431.447893,98.769158,128.309526,132.689527,221.043994,0.17685800000000002
#32,0.215561,0.171423,0.121374,0.11406699999999999,0.009373,422.077103,105.567415,127.328285,126.553403,216.97531,0.273365
#33,0.190312,0.16332,0.11835599999999999,0.348638,0.016607,420.855833,94.049158,127.402494,126.77275,216.467411,0.38423
#34,0.18448900000000001,0.13102,0.118093,0.11126699999999999,0.007951,417.621021,105.179696,129.129866,125.279543,217.639228,0.17147300000000001
#35,0.18282400000000001,0.12729300000000002,0.114831,0.107363,0.06793099999999999,426.336168,94.082503,127.009176,126.44476,218.838337,0.192492
#36,0.236093,0.19981100000000002,0.15770900000000002,0.11268500000000001,0.009068,426.734431,96.450929,125.787909,126.969578,214.292078,0.17525
#37,0.213784,0.199608,0.16171100000000002,0.12399800000000001,0.026033999999999998,426.628414,101.813137,128.560077,127.664423,218.04915,0.209017
#38,0.188642,0.143831,0.181488,0.12017,0.009361000000000001,433.32664,102.202141,127.048787,125.302187,218.237839,0.17268899999999998
#39,0.267007,0.16906000000000002,0.116896,0.10883799999999999,0.010994,443.011197,90.744801,139.307671,127.354344,221.195573,0.18245
#40,0.19677099999999997,0.137731,0.124982,0.114715,0.010091,421.859674,97.603792,125.043038,130.422163,218.795322,0.261398
#41,0.212125,0.16325299999999998,0.118383,0.09797700000000001,0.013434,420.659564,94.975164,128.663883,124.667398,213.480692,0.17302099999999998
#42,0.23303800000000002,0.134761,0.120593,0.10917700000000001,0.012021,427.543217,98.335863,129.477236,131.041463,217.273857,0.187545
#43,0.20813900000000002,0.13014099999999998,0.119047,0.11626600000000001,0.023854,425.422461,98.056016,128.893899,126.586779,219.507439,0.212828
#44,0.220499,0.142757,0.124449,0.117534,0.015615,427.781586,96.253029,127.995116,126.687367,220.166444,0.180471
#45,1.224786,0.137286,0.121149,0.111062,0.022555,411.413176,97.724763,123.22503,123.85181,218.181823,0.199556
#46,0.24474600000000002,0.137036,0.11851300000000001,0.111571,0.015179999999999999,423.947328,89.157976,128.13545,126.740793,215.505531,0.189645
#47,0.237464,0.143557,0.1277,0.125509,0.020785,421.828451,94.503922,131.264362,125.479383,220.405446,0.382556
#48,0.222116,0.140721,0.125329,0.11845699999999999,0.012381999999999999,434.620145,95.078154,126.593945,127.917782,213.467724,0.24675
#49,0.190155,0.142912,0.115688,0.10969499999999999,0.022414,411.446433,94.809216,134.754428,126.891102,221.656152,0.188562
#50,0.194126,0.13131600000000002,0.117923,0.11455,1.178751,416.933887,102.182457,122.757691,124.56536,218.470211,0.190719
