iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.2760214600000001,0.16531454000000004,0.13653526,0.1281724,0.022169740000000004,473.79413555999986,109.40145395999998,146.32481552000002,145.58198191999998,253.29190712000002,0.27802467999999997
#2,50,50,50,50,50,50,50,50,50,50,50
