iteration,query1,query2,query3,query4,query5,query6,query7,query8
#1,0.25372100000000003,0.333286,411.601681,99.273996,143.351086,137.21132,250.1205,0.33228500000000005
#2,0.254352,0.21479499999999999,431.858026,100.011618,141.70141,145.401986,256.030751,0.331467
#3,0.270206,0.019386,414.012402,106.956299,143.318519,141.50639,246.775494,0.263874
#4,0.21246600000000002,0.025425,421.896462,103.948687,144.565019,141.972162,249.645968,0.241008
#5,0.213944,0.19390100000000002,424.856127,103.437041,153.367158,144.218707,257.175437,0.276382
#6,0.217733,0.021005,458.533728,106.61975,154.7866,142.730796,253.287989,0.5991810000000001
#7,0.25817700000000005,0.017384,428.127071,103.710681,142.264428,140.37662,255.413472,0.262748
#8,0.246439,0.04501,447.76053,102.78136,143.742307,143.606825,251.063604,0.340608
#9,0.40230099999999996,0.510969,437.672619,111.093281,142.840274,144.506701,255.457285,0.233126
#10,0.21435400000000002,0.021247,437.297503,106.116624,143.245389,139.870475,245.073233,0.356186
#11,0.35316899999999996,0.023697,430.747891,112.344173,143.854136,140.855392,246.496307,0.23912899999999998
#12,0.228017,0.030045000000000002,434.914137,107.861949,145.205799,153.452548,260.11013,0.24607400000000001
#13,0.232643,0.014834,425.571864,103.449092,164.043679,154.98569,252.186431,0.34697500000000003
#14,0.21353999999999998,0.011205,439.20784,105.051524,139.469294,141.40608,257.297972,0.308548
#15,0.257824,0.017332999999999998,427.620657,118.07863,142.499027,141.727893,259.440233,0.257368
#16,0.23691,0.016569,422.061588,103.213675,141.772049,144.608615,250.070248,0.321729
#17,0.24197200000000002,0.256731,428.55916,108.698058,168.787593,149.291225,254.229709,0.26316500000000004
#18,0.24730000000000002,0.024047,420.602835,102.99034,140.621869,142.041863,249.710542,0.329769
#19,0.255961,0.014717000000000001,443.264878,104.229856,146.836303,143.084478,270.585091,0.263052
#20,0.253762,0.011640000000000001,427.774301,102.797119,141.63485,146.466473,260.811294,0.335198
#21,0.25522100000000003,0.034045,431.278394,115.363532,143.252894,142.003936,246.921793,0.252891
#22,0.253021,0.018512,423.924325,103.432648,151.236301,153.05204,251.282561,0.339206
#23,0.25717,0.05551,425.876208,108.552251,146.844006,147.192197,252.112366,0.24109899999999998
#24,0.403363,0.013007,421.209634,108.838856,144.112948,146.563021,256.098242,0.234534
#25,0.249282,0.02536,430.902211,107.246028,144.298899,140.10867,247.382845,0.23447800000000002
#26,0.40316399999999997,0.018431999999999997,420.368806,105.312818,144.728119,146.67018,270.517621,0.273736
#27,0.320834,0.078527,444.281953,110.087525,144.38429,142.749645,265.163527,0.25208
#28,0.25101,0.162904,426.290525,104.414813,144.420246,146.014818,252.419753,0.26706799999999997
#29,0.306048,0.099287,432.601505,106.039737,142.332572,145.86479,249.697902,0.316921
#30,0.259109,0.017809000000000002,429.061263,103.135292,146.130416,147.396432,250.668907,0.267283
#31,0.25012799999999996,0.014073,431.859822,113.473035,140.195697,144.642304,255.250453,0.254317
#32,0.38988799999999996,0.024005,431.680573,107.977187,141.986163,143.515391,256.76322,0.25660000000000005
#33,0.28752300000000003,0.01601,430.276592,108.406427,145.53467,144.216478,250.581756,0.25501599999999996
#34,0.245213,0.021809000000000002,456.698237,113.537769,156.197538,143.020824,249.619256,0.260735
#35,0.295066,0.030594,457.053386,108.332154,142.8803,142.124977,257.974386,0.430211
#36,0.257563,0.01248,429.513041,101.45199,146.106308,143.292168,267.282997,0.28955000000000003
#37,0.247226,0.014152,426.497694,107.100072,144.474455,144.548945,242.044736,0.36619999999999997
#38,0.26133,0.021922999999999998,424.377973,107.318718,148.827288,150.40279,253.194267,0.6934819999999999
#39,0.262021,0.032189,436.006818,108.128312,144.128218,142.251401,247.080965,0.25451
#40,0.51235,0.024681,419.488861,104.591372,143.875061,142.679356,253.904298,0.268638
#41,0.507901,0.023187000000000003,422.739006,111.93784,155.77592,140.860887,251.659142,0.24612
#42,0.251535,0.013297,462.293701,124.376995,145.14741,146.374409,248.497385,0.321159
#43,0.234496,0.024113,433.671212,105.182898,142.358905,144.840363,254.534818,0.247335
#44,0.23495500000000002,0.016635999999999998,433.5787,105.301735,145.029992,142.973307,247.775925,0.26817799999999997
#45,0.350439,0.048444,425.52886,103.370419,145.788022,146.716561,251.897379,0.26190199999999997
#46,0.264229,0.020827000000000002,429.132174,108.57658,139.654415,142.908446,249.626746,0.25028100000000003
#47,0.355538,0.015654,437.415801,105.727637,143.062884,144.951563,246.640957,0.319077
#48,0.26478500000000005,0.018253,433.170363,105.946032,142.299527,154.360459,252.797103,0.413235
#49,0.259351,0.014643000000000002,421.802655,105.079457,154.350312,150.184235,250.396635,0.248615
#50,0.24490299999999998,0.014013,440.39013,112.459034,141.160281,145.920275,260.636761,0.252375
