iteration,query1,query2,query3,query4,query5,query6,query7,query8,query9,query10,query11
#1,0.715508,0.418721,0.254065,0.328855,0.020707999999999997,569.757447,70.304299,77.627072,78.211504,351.84486,11.080749
#2,0.5228400000000001,0.66661,0.35775,0.305573,0.013923999999999999,562.271205,74.552825,76.597161,82.171823,364.729257,10.993967
#3,0.657817,0.8132140000000001,0.41881999999999997,0.367577,0.014823000000000001,570.727221,74.79024,80.713848,79.872822,351.142841,11.417566
#4,0.5269109999999999,0.38206799999999996,0.30565699999999996,0.309016,0.011955,598.61679,70.765814,78.048152,81.536792,362.646161,10.980027
#5,0.40583800000000003,0.46884699999999996,0.240087,0.264395,0.013858,614.190792,69.648987,79.572638,80.577406,391.175562,10.934336
#6,0.47130900000000003,0.528121,0.315639,0.5269729999999999,0.017114,584.911391,76.581937,81.122567,77.376592,364.707486,12.083914
#7,0.435028,0.488354,0.243601,0.24543600000000002,0.01474,568.757228,69.974491,78.185054,77.490065,364.596799,10.733034
#8,0.44989,0.40961200000000003,0.25145500000000004,0.29507,0.024864,569.3789,72.807555,78.752469,76.220315,356.286074,13.359079
#9,0.41428699999999996,0.433024,0.35876600000000003,0.28948700000000005,0.013416,587.371774,73.042897,83.487972,78.627396,377.293195,12.402662
#10,0.429537,0.637915,0.352616,0.301259,0.015022,606.033822,76.562161,79.952021,78.861495,377.309914,10.783528
#11,0.5818909999999999,0.611184,0.298931,0.27873200000000004,0.016062,581.153779,70.073566,79.601466,76.683704,378.340005,10.723694
#12,0.384189,0.424914,0.23034200000000002,0.255305,0.047415,575.216743,77.850236,80.530656,77.574858,363.278959,10.014068
#13,0.51798,0.5429700000000001,0.374132,0.435827,0.016694,622.578644,84.937993,90.313506,102.512546,370.360817,17.088987
#14,0.423939,0.5159360000000001,0.302056,0.236474,0.015024,610.570343,75.399271,77.924761,77.731444,386.500494,11.382297
#15,0.49351799999999996,0.540059,0.246192,0.22850800000000002,0.014751,574.956996,71.603442,78.802839,78.701982,375.743976,10.726063
#16,2.849142,3.491476,2.283225,0.7135090000000001,0.035457999999999996,608.833979,84.500331,77.718376,79.146749,374.324841,11.545881
#17,0.396894,0.48130399999999995,0.34131,0.23590799999999998,0.014286,615.513976,68.835439,90.722791,82.744559,378.0855,10.465738
#18,0.67516,0.592399,0.24296199999999998,0.208783,0.036308,610.438194,73.368246,78.019552,76.690463,364.00307,12.945329
#19,1.260245,1.027028,0.441169,0.401008,0.024811,593.627286,70.787748,80.159549,77.547228,370.223262,11.453201
#20,0.39181299999999997,0.385704,0.251982,0.265227,0.029794,585.009901,70.319932,81.979645,76.907981,379.965854,11.089546
