iteration,query1,query2,query3,query4,query5,query6,query7,query8
#1,1.889163,0.308166,576.956714,99.733946,134.878146,129.790836,344.711665,10.764793
#2,0.428193,0.018401,520.347146,90.969441,128.203594,132.648246,350.223037,9.08552
#3,0.391411,0.03817,515.44464,89.978485,126.921974,133.611721,334.488178,8.676505
#4,0.601154,0.01886,526.213926,98.037203,134.938281,129.825928,339.401441,8.248583
#5,0.5296900000000001,0.02533,531.313703,92.629254,129.019252,127.49426,334.651809,8.080494
#6,0.503726,0.022510000000000002,546.033699,94.311678,135.189443,127.094675,340.687285,7.359586
#7,0.9437129999999999,0.023253,533.688522,92.167181,125.360734,132.938722,344.933357,7.84925
#8,0.471538,0.019468,532.164207,92.981972,129.58306,126.513234,338.880331,8.543932
#9,0.467863,0.019937999999999997,538.366134,95.443989,129.351491,129.241279,359.294839,9.891149
#10,0.405289,0.020646,519.65944,94.021675,130.688099,127.388523,345.410962,7.550419
#11,0.425214,0.022481,523.194154,94.368366,129.525815,130.998714,347.22232,8.596703
#12,0.475929,0.032488,536.025966,101.12691,130.977034,128.028746,375.409059,8.389097
#13,0.425801,0.01645,545.523387,95.219014,129.375756,129.511907,355.912919,8.434819
#14,0.647123,0.018108,527.243221,97.392881,130.929393,132.154175,381.389584,8.915202
#15,0.424817,0.030716,528.25786,101.017154,132.490397,127.999646,345.512487,8.749258
#16,1.145692,0.036018999999999995,528.87296,97.76352,140.328199,130.046233,350.875212,8.488855
#17,0.486565,0.017247,580.416908,96.616059,129.840688,129.338601,348.888286,8.954828
#18,0.45607600000000004,0.017838999999999997,529.743087,93.879757,129.982331,130.281687,364.151464,7.999893
#19,0.693937,0.020721,526.87651,97.331445,126.642453,126.880083,345.075742,8.548074
#20,0.488212,0.017096,532.852764,101.401243,134.220759,125.621571,351.755745,11.899986
#21,0.44682799999999995,0.022835,533.770955,97.491112,132.490936,130.439181,437.503113,18.208048
#22,0.5880270000000001,0.043759,556.153614,92.841119,128.33739,130.32839,376.418525,11.244289
#23,0.787024,0.08815600000000001,551.588108,100.479297,132.192991,131.837872,379.396192,10.607433
#24,0.5270940000000001,0.016967,543.574399,93.929795,131.347672,126.47065,383.775401,9.753891
#25,0.475708,0.063468,553.371439,94.070029,129.437247,128.531552,361.522824,9.55641
#26,1.006589,0.020001,538.160119,96.042505,130.554719,126.450921,365.627892,9.959079
#27,0.555937,0.020007999999999998,556.199362,101.404489,137.699445,137.365709,375.969188,9.426392
#28,0.837475,0.026882000000000003,713.780822,103.520255,136.113416,133.109839,387.534564,12.300952
#29,0.515076,0.028544,575.195705,95.845734,136.729899,131.665274,393.86105,11.413348
#30,0.546566,0.018576000000000002,569.439937,106.087375,140.319801,136.879882,406.828473,11.578045
#31,0.455814,0.019072,601.81937,105.896297,129.687974,131.532448,393.525886,11.270143
#32,0.494958,0.017765,551.917673,95.357782,125.119095,127.088759,401.418269,10.335523
#33,0.53264,0.034779000000000004,577.653304,105.835493,133.805996,135.798735,364.632174,10.733565
#34,0.412155,0.020784,553.703726,96.710381,125.816864,134.961752,387.346248,12.146688
#35,0.50201,0.0233,569.445313,98.279795,137.839201,131.094395,385.712844,11.528113
#36,0.638568,0.017016,593.698091,98.014492,126.18315,125.93998,377.0559,11.298118
#37,0.543959,0.027428,535.414139,102.633489,128.379062,132.512865,373.195871,9.684893
#38,0.54631,0.024875,567.111165,102.34671,134.992517,134.456609,394.898697,16.085599
#39,0.594895,0.020915,622.249974,103.593293,136.174305,134.482986,469.023126,18.196765
#40,0.448995,0.018765999999999998,782.600709,100.990615,131.01737,129.524833,389.149694,15.83543
#41,0.5955119999999999,0.039234000000000005,604.684881,100.577577,131.247687,130.843487,461.700608,11.518234
#42,0.552774,0.022264,654.08268,97.943357,129.04917,132.155572,406.204465,11.086274
#43,0.7055130000000001,0.030995,592.566237,98.16077,134.66123,127.904711,389.179284,10.21304
#44,0.49663799999999997,0.023286,565.818875,99.94826,130.033716,128.165858,394.746946,9.808672
#45,0.43936200000000003,0.025210999999999997,581.878235,96.871354,131.979779,131.706101,394.504819,9.706927
#46,0.46455399999999997,0.038914000000000004,570.952558,97.686154,133.218106,134.13254,414.850767,13.664173
#47,0.568246,0.027777999999999997,575.855994,98.320734,128.421754,129.771109,404.429443,12.318206
#48,0.788357,0.020347999999999998,586.420131,105.95814,141.817658,147.701564,402.404851,10.601877
#49,0.453172,0.018091,570.91281,107.004243,144.958002,138.657203,472.765535,13.085097
#50,0.687096,0.032382,622.558072,107.156768,132.624821,129.596238,422.462933,13.318618
