iteration,query1,query2,query3,query4,query5,query6,query7
#1,2.7654512699999976,2.935430860000003,3.192726830000004,3.1463440899999977,6.619000989999996,6.804646990000005,7.030107050000001
#2,100,100,100,100,100,100,100
